x,y
401896.7147,3764738.696
401891.2527,3764736.19
401885.1567,3764731.655
401858.5416,3764712.157
401808.2618,3764677.126
401715.6727,3764616.023
401712.2284,3764612.079
401664.0792,3764557.654
401544.6463,3764445.719
401514.5138,3764410.652
401471.5705,3764356.498
401354.1433,3764155.339
401345.1852,3764138.298
401313.358,3764072.205
401261.0665,3763954.183
401211.439,3763832.532
401210.8507,3763831.59
401199.0123,3763811.092
401186.9452,3763786.726
401174.6801,3763757.758
401172.8879,3763753.024
401147.0896,3763732.639
401112.1991,3763703.799
401112.1199,3763703.635
401075.5408,3763620.382
401048.7794,3763551.866
401033.1096,3763521.727
400984.2654,3763436.304
400936.1314,3763350.71
400935.3267,3763349.055
400911.0403,3763298.485
400900.1955,3763277.445
400867.3502,3763212.34
400836.3704,3763149.551
400834.6665,3763145.701
400806.0672,3763081.922
400772.4325,3763012.037
400739.4745,3762948.392
400734.6982,3762938.715
400709.8845,3762890.605
400697.0341,3762864.965
400659.5315,3762793.84
400633.4833,3762747.236
400621.9436,3762724.349
400583.4504,3762649.996
400541.2874,3762572.894
400526.0291,3762546.077
400508.7256,3762515.731
400499.8194,3762499.568
400459.3328,3762427.306
400416.7918,3762352.834
400412.1132,3762344.919
400374.3942,3762274.287
400362.9245,3762254.244
400350.9886,3762241.561
400334.3831,3762221.49
400317.2594,3762197.344
400307.5698,3762181.905
400301.0867,3762170.39
400286.7916,3762147.106
400284.9018,3762143.763
400272.1886,3762131.208
400257.9453,3762116.139
400243.9824,3762100.353
400230.1537,3762083.751
400220.525,3762066.536
400213.0117,3762048.357
400206.5438,3762029.079
400200.6643,3762008.62
400195.1504,3761986.986
400188.8197,3761963.275
400183.0346,3761942.604
400181.8764,3761939.623
400175.0397,3761922.277
400168.0324,3761903.974
400160.9244,3761884.677
400151.2318,3761863.871
400140.0822,3761841.666
400128.1645,3761818.011
400115.7683,3761792.88
400106.411,3761773.437
400103.2715,3761767.076
400092.7559,3761743.35
400091.9695,3761741.445
400083.0511,3761724.794
400073.7516,3761706.57
400064.6869,3761688.142
400055.7806,3761669.448
400047.5023,3761650.459
400039.6963,3761631.004
400032.1525,3761611.119
400024.7855,3761590.81
400017.5496,3761570.077
400010.0881,3761548.26
400007.2199,3761540.289
400001.7975,3761526.076
399993.0467,3761503.622
399984.1374,3761480.893
399975.1305,3761457.862
399964.0358,3761434.731
399951.9688,3761411.609
399939.3897,3761388.343
399926.4784,3761364.852
399913.3293,3761341.09
399912.4058,3761339.13
399905.2521,3761325.018
399901.4482,3761316.712
399891.0393,3761290.649
399881.0205,3761263.013
399871.1724,3761233.825
399861.4097,3761203.058
399853.0246,3761170.808
399845.6058,3761137.971
399845.2857,3761136.749
399836.6355,3761098.652
399828.1286,3761052.24
399819.7039,3760995.84
399810.3038,3760936.816
399808.8957,3760921.804
399800.8703,3760849.99
399792.5157,3760786.635
399784.7799,3760735.657
399783.9447,3760731.484
399774.1668,3760683.972
399764.1419,3760637.697
399753.3977,3760593.928
399742.2725,3760552.536
399737.1122,3760534.501
399729.7086,3760513.586
399715.9591,3760476.339
399704.0963,3760447.167
399702.3345,3760441.915
399690.8649,3760408.408
399679.4532,3760376.249
399668.0476,3760345.257
399663.5457,3760333.342
399655.7245,3760315.088
399643.6026,3760285.229
399631.8922,3760255.896
399620.3586,3760227.165
399608.9042,3760199.072
399597.4803,3760171.624
399585.8766,3760144.628
399580.3292,3760132.183
399573.3432,3760118.147
399559.9868,3760092.02
399546.5299,3760066.484
399532.9785,3760041.499
399519.6892,3760017.722
399506.2811,3759994.792
399502.9374,3759989.235
399494.1531,3759972.105
399482.3695,3759949.977
399471.9057,3759931.027
399470.336,3759928.339
399456.8181,3759906.878
399443.1082,3759886.097
399429.2368,3759865.892
399415.2129,3759846.199
399401.0397,3759826.975
399386.8422,3759807.309
399372.5409,3759787.272
399358.0294,3759767.079
399343.2588,3759746.861
399330.6035,3759729.869
399327.9853,3759726.562
399311.5566,3759705.195
399301.7786,3759692.918
399295.6247,3759683.637
399280.7596,3759661.66
399265.9402,3759640.129
399251.1696,3759618.992
399236.5819,3759597.948
399221.8661,3759577.219
399207.1016,3759556.8
399192.3249,3759536.692
399186.3874,3759528.71
399177.1733,3759516.213
399162.5551,3759495.349
399148.2356,3759474.105
399134.0532,3759452.501
399119.9349,3759430.564
