x,y
402178.3347,3763934.066
402165.2618,3763932.936
402149.6591,3763931.582
402132.1666,3763930.098
402117.9873,3763928.921
402114.2139,3763924.423
402099.803,3763907.387
402085.7273,3763890.937
402071.3712,3763874.374
402056.7317,3763857.69
402041.8178,3763840.91
402026.6479,3763824.064
402011.289,3763807.306
401995.6193,3763790.448
401979.7209,3763773.589
401963.6305,3763756.764
401960.0217,3763753.024
401953.2764,3763738.284
401944.7329,3763719.954
401936.2016,3763702.223
401927.6489,3763685.042
401919.0596,3763668.372
401916.8315,3763664.142
401913.0093,3763655.629
401907.6997,3763643.991
401902.2956,3763632.378
401896.7818,3763620.766
401891.1613,3763609.159
401885.4371,3763597.57
401879.6794,3763586.189
401873.6993,3763574.616
401867.521,3763562.905
401861.5804,3763551.866
401861.3518,3763551.174
401857.8192,3763540.594
401854.3597,3763530.496
401850.7814,3763520.258
401847.0994,3763509.934
401843.3168,3763499.55
401839.4428,3763489.122
401835.5292,3763478.689
401831.6521,3763468.555
401827.7964,3763458.685
401823.9437,3763449.05
401820.0941,3763439.632
401816.1866,3763430.208
401812.3644,3763421.186
401808.6123,3763412.511
401804.9211,3763404.147
401801.2818,3763396.064
401797.5755,3763388.127
401793.866,3763380.339
401790.1566,3763372.698
401786.4472,3763365.197
401782.7317,3763357.833
401779.0863,3763350.71
401779.065,3763350.667
401775.9865,3763345.056
401772.8989,3763339.487
401769.8051,3763333.955
401766.6992,3763328.459
401763.6116,3763323.016
401760.5179,3763317.618
401757.4181,3763312.253
401754.3091,3763306.928
401751.1971,3763301.64
401747.9997,3763296.251
401744.8146,3763290.938
401741.6416,3763285.693
401738.4778,3763280.508
401735.317,3763275.381
401732.1288,3763270.34
401728.8827,3763265.259
401725.6,3763260.157
401722.2807,3763255.045
401718.931,3763249.931
401715.6727,3763245.002
401715.6544,3763244.962
401713.2038,3763240.137
401710.7136,3763235.255
401708.1837,3763230.317
401705.6204,3763225.333
401703.0539,3763220.292
401700.5028,3763215.29
401697.9546,3763210.313
401695.4065,3763205.354
401692.8584,3763200.413
401690.2981,3763195.448
401687.7591,3763190.531
401685.2353,3763185.648
401682.7177,3763180.802
401680.2061,3763175.986
401677.6702,3763171.195
401675.119,3763166.415
401674.1985,3763164.699
401674.1345,3763164.267
401674.0309,3763163.599
401673.9272,3763162.941
401673.8084,3763162.285
401673.6773,3763161.63
401673.5341,3763160.966
401673.3847,3763160.298
401673.2293,3763159.621
401673.0738,3763158.936
401672.9123,3763158.244
401672.7507,3763157.54
401672.5861,3763156.833
401672.4215,3763156.116
401672.2661,3763155.403
401672.1198,3763154.693
401671.9826,3763153.989
401671.8485,3763153.285
401671.7174,3763152.587
401671.5833,3763151.88
401671.4431,3763151.16
401671.2968,3763150.432
401671.1536,3763149.694
401671.1231,3763149.551
401671.0377,3763148.865
401670.9219,3763147.993
401670.8,3763147.1
401670.6781,3763146.186
401670.5501,3763145.256
401670.422,3763144.314
401670.2971,3763143.367
401670.166,3763142.412
401670.0319,3763141.446
401669.8978,3763140.471
401669.7606,3763139.486
401669.6722,3763138.478
401669.6143,3763137.459
401669.5747,3763136.445
