x,y
400649.5371,3761640.867
400650.5216,3761637.776
400640.5638,3761566.423
400636.1655,3761540.289
400624.6441,3761488.644
400605.8562,3761410.188
400587.7633,3761339.13
400585.6175,3761330.093
400565.6135,3761246.727
400537.7273,3761164.315
400527.5592,3761137.971
400508.7256,3761083.69
400508.2257,3761082.358
400495.6375,3761050.287
400484.6799,3761019.313
400465.4074,3760969.259
400451.8865,3760936.816
400449.8901,3760923.35
400467.3582,3760875.362
400488.0053,3760829.078
400508.7256,3760790.292
400512.0022,3760785.952
400532.6067,3760758.572
400547.8223,3760738.013
400547.5998,3760735.657
400535.3194,3760704.729
400523.5816,3760668.896
400512.8648,3760630.815
400508.7256,3760614.49
400502.6814,3760581.081
400494.9669,3760534.501
400489.4501,3760520.093
400465.0112,3760466.232
400442.5261,3760420.036
400422.0161,3760379.483
400416.6181,3760369.046
400396.1112,3760333.342
400374.2296,3760307.864
400311.837,3760230.622
400307.5698,3760225.778
400259.0274,3760163.175
400236.1917,3760132.183
400210.0064,3760099.384
400163.3324,3760039.722
400117.5575,3759979.033
400106.411,3759963.964
400082.728,3759931.027
400074.4862,3759920.1
400035.2889,3759868.595
399995.6466,3759817.066
399955.6965,3759765.57
399927.7829,3759729.869
399915.533,3759714.565
399905.2521,3759701.851
399877.2166,3759666.361
399839.4549,3759616.206
399802.0834,3759564.502
399776.9618,3759528.71
399766.8912,3759511.492
399736.6367,3759456.362
399707.6594,3759399.057
399704.0963,3759391.224
399681.1357,3759331.519
399679.6544,3759327.554
399645.5564,3759260.922
399608.0904,3759193.762
399568.823,3759129.919
399566.5461,3759126.395
399533.8624,3759070.504
399502.9374,3759020.788
399497.6248,3759011.833
399465.3373,3758958.834
399444.1537,3758925.236
399431.9526,3758905.318
399398.1106,3758849.78
399364.162,3758793.718
399327.97,3758737.671
399319.0973,3758724.08
399301.7786,3758692.82
399295.643,3758680.729
399265.9676,3758622.113
399236.2161,3758562.814
399216.3675,3758522.922
399209.1773,3758504.356
399188.3015,3758450.672
399167.5416,3758398.789
399146.7847,3758348.43
399135.5346,3758321.763
399125.2476,3758294.096
399102.3479,3758236.163
399100.6228,3758231.844
399083.8953,3758180.656
399065.9152,3758125.597
399064.2845,3758120.607
399049.1939,3758065.225
399032.567,3758006.596
399015.8853,3757950.215
399005.7477,3757919.448
398997.4937,3757888.941
398978.5443,3757821.961
398959.2901,3757757.706
398946.9121,3757718.289
398939.8103,3757691.156
398920.2147,3757618.565
398900.0979,3757548.18
398899.4639,3757546.032
398892.5389,3757517.133
398884.5318,3757475.745
398868.8041,3757397.515
398853.1404,3757323.18
398851.5798,3757315.975
398836.6538,3757240.195
398820.9109,3757159.777
398811.9101,3757114.819
398806.4908,3757079.175
398793.5215,3756996.565
398780.5919,3756917.891
398779.8787,3756913.66
398771.7131,3756828.505
398763.6603,3756744.002
398760.5056,3756712.501
398763.0568,3756653.153
398766.8454,3756559.412
398768.6773,3756511.345
398772.4781,3756471.45
398780.1103,3756391.992
398785.1761,3756317.675
398785.7065,3756310.186
398790.1535,3756224.812
398795.5698,3756132.677
398797.0846,3756109.028
398799.9985,3756027.963
398804.1042,3755918.825
398804.3389,3755907.871
398813.3366,3755808.393
398822.5842,3755706.713
398823.9802,3755698.666
398839.8694,3755606.675
398855.5514,3755513.265
398856.8285,3755505.555
398874.135,3755435.547
398892.6455,3755362.225
398899.4639,3755334.401
398908.0898,3755304.397
398912.0247,3755293.598
398932.1476,3755241.331
398953.0325,3755192.159
398974.7708,3755145.819
398997.9448,3755103.24
398997.8899,3755102.395
398995.6984,3755068.98
398993.5465,3755036.738
398991.4343,3755005.628
398989.3708,3754975.62
398987.2737,3754944.956
398985.2621,3754915.264
398984.3751,3754902.082
398983.8051,3754889.544
398982.784,3754866.716
398981.7904,3754844.235
398981.2448,3754834.807
398992.0103,3754820.348
399011.3926,3754794.744
399031.1223,3754769.21
399051.1812,3754743.757
399071.5509,3754718.388
399086.0716,3754700.924
399090.2474,3754693.846
399100.6228,3754676.23
399104.5486,3754671.383
399118.9412,3754653.239
399133.0504,3754634.875
399146.9006,3754616.273
399159.5924,3754598.159
399171.9917,3754579.748
399184.2599,3754560.882
399196.458,3754541.509
399208.6104,3754521.604
399222.43,3754499.766
399222.5763,3754499.493
399234.2562,3754477.244
399245.8722,3754454.878
399257.3997,3754432.439
399268.8266,3754409.944
399279.8177,3754386.815
399290.9155,3754363.375
399301.7786,3754340.286
399302.0194,3754339.832
399313.5042,3754318.037
399323.6541,3754298.608
399324.7117,3754296.22
399334.0813,3754276.289
399343.4082,3754256.416
399352.7046,3754236.491
399361.9827,3754216.493
399371.2486,3754196.416
399380.0847,3754177.696
399389.0459,3754158.686
399398.4398,3754139.025
399408.3275,3754118.65
399418.7151,3754097.583
399418.77,3754097.451
399427.5147,3754074.864
399436.3295,3754051.818
399445.1931,3754028.614
399454.1207,3754005.29
399463.1062,3753981.856
399471.1133,3753958.015
399479.1966,3753933.897
399487.3073,3753909.726
399491.8153,3753896.293
399495.1986,3753886.078
399502.7942,3753863.138
399502.9374,3753862.848
399513.8554,3753841.914
399525.0171,3753820.893
399536.1332,3753799.931
399547.2066,3753778.986
399558.2464,3753758.045
399568.5731,3753737.608
399578.5156,3753717.486
399588.2113,3753697.534
399589.3665,3753695.135
399597.8095,3753678.306
399607.1973,3753659.092
399615.7409,3753636.754
399624.2204,3753614.096
399632.5414,3753591.227
399640.6766,3753568.152
399648.6135,3753544.866
399655.3679,3753522.883
399661.9546,3753500.586
399663.881,3753493.977
399667.185,3753479.102
399671.693,3753458.917
399675.9998,3753439.754
399677.597,3753420.778
399678.9838,3753403.594
399680.2335,3753387.985
399681.3765,3753373.792
399682.4342,3753360.88
399681.0717,3753350.876
399679.6757,3753342.31
399678.4443,3753334.839
399677.4232,3753328.28
399676.6308,3753322.507
399673.4913,3753318.565
399671.0407,3753315.009
399669.0809,3753311.93
399667.4868,3753309.296
399666.167,3753307.052
399668.453,3753300.385
399670.7573,3753294.06
399671.2084,3753292.819
399676.4113,3753288.159
399682.678,3753282.149
399688.6582,3753276.011
399694.1049,3753271.716
399699.2774,3753267.639
399704.0963,3753263.696
399704.267,3753263.348
399709.5217,3753252.775
399714.7917,3753242.287
399716.7242,3753238.966
399717.0533,3753233.752
399717.5563,3753225.836
399718.0531,3753217.961
399718.5438,3753210.083
399719.0315,3753202.18
399719.2997,3753193.682
399719.571,3753184.903
399719.8484,3753176.018
399720.1257,3753167.075
399720.4061,3753158.088
399720.4458,3753148.675
399720.4915,3753139.008
399720.5646,3753129.165
399720.653,3753119.19
399720.7536,3753109.105
399721.1559,3753099.793
399721.5461,3753091.662
399721.6558,3753090.725
399722.6403,3753082.405
399723.6248,3753074.092
399724.6063,3753065.774
399725.6213,3753057.763
399726.6454,3753049.821
399727.6726,3753041.887
399728.7089,3753033.937
399729.7574,3753025.962
399730.7693,3753017.417
399731.7721,3753008.673
399732.7719,3752999.856
399733.7655,3752991.017
399734.75,3752982.174
399735.445,3752972.527
399736.082,3752962.745
399736.6916,3752952.931
399737.286,3752943.109
399737.8681,3752933.287
399739.0447,3752924.323
399740.401,3752915.352
399741.8519,3752906.301
399743.3698,3752897.156
399744.5006,3752890.504
399745.0218,3752888.328
399747.0761,3752881.445
399749.0726,3752874.728
399751.0446,3752868.038
399753.0106,3752861.326
399754.9826,3752854.575
399756.7261,3752846.912
399758.3537,3752839.257
399759.9174,3752831.634
399761.4353,3752824.031
399762.9257,3752816.442
399764.3004,3752808.098
399765.7329,3752799.412
399767.196,3752790.6
399768.6743,3752781.742
399770.1556,3752772.867
399771.5973,3752764.648
399772.9872,3752756.841
399774.3435,3752749.167
399775.6847,3752741.528
399777.0197,3752733.894
399778.2145,3752727.278
399779.3514,3752720.824
399780.4456,3752714.465
399781.5063,3752708.172
399782.5366,3752701.929
399783.5272,3752694.347
399784.152,3752689.346
399784.6031,3752686.888
399785.8284,3752680.139
399787.0628,3752673.329
399788.3064,3752666.48
399789.5226,3752659.351
399790.7418,3752652.084
399791.9579,3752644.795
399793.1558,3752637.522
399794.3323,3752630.277
399795.8502,3752622.963
399797.4413,3752615.757
399799.0567,3752608.568
399800.6844,3752601.369
399802.3211,3752594.153
399803.4489,3752588.192
399804.4304,3752582.616
399805.3417,3752577.193
399806.2134,3752571.836
399807.0577,3752566.517
399808.2952,3752560.421
399809.6028,3752554.045
399810.9378,3752547.561
399812.2942,3752541.024
399813.6627,3752534.454
399814.9063,3752527.927
399816.0798,3752521.323
399817.2167,3752514.722
399818.317,3752508.155
399819.3808,3752501.632
399820.5177,3752494.944
399821.6942,3752488.384
399821.7308,3752488.189
399822.7946,3752483.001
399823.8857,3752477.671
399824.9708,3752472.354
399825.7846,3752467.143
399826.568,3752462.053
399827.3574,3752456.99
399828.1651,3752451.916
399828.9942,3752446.817
399829.7684,3752441.322
399830.573,3752435.588
399831.4143,3752429.754
399832.283,3752423.871
399833.176,3752417.959
399834.505,3752412.26
399835.8949,3752406.489
399837.303,3752400.704
399838.7143,3752394.926
399840.1224,3752389.167
399841.622,3752383.208
399843.1918,3752377.354
399844.792,3752371.512
399846.4105,3752365.657
399848.0503,3752359.783
399849.6901,3752354.093
399851.3482,3752348.424
399853.0185,3752342.757
399854.7041,3752337.084
399856.4018,3752331.399
399858.0416,3752325.567
399859.651,3752319.587
399861.2542,3752313.569
399862.8514,3752307.552
399864.4394,3752301.545
399866.0487,3752295.561
399867.6642,3752289.515
399868.3286,3752287.031
399869.1882,3752283.673
399870.6451,3752277.988
399872.096,3752272.313
399873.6047,3752266.977
399875.147,3752261.817
399876.6954,3752256.697
399878.2529,3752251.579
399879.8196,3752246.453
399881.1973,3752241.391
399882.5567,3752236.327
399883.9161,3752231.274
399885.2786,3752226.236
399886.641,3752221.21
399888.2351,3752215.921
399889.8445,3752210.528
399891.4721,3752205.087
399893.1211,3752199.614
399894.7853,3752194.119
399896.5744,3752188.553
399898.3941,3752182.928
399900.2138,3752177.307
399902.0243,3752171.708
399903.8226,3752166.14
399905.2521,3752160.988
399905.31,3752160.785
399906.7334,3752155.777
399908.1355,3752150.807
399909.5223,3752145.85
399910.9031,3752140.898
399912.2564,3752135.985
399913.6371,3752131.055
399915.0514,3752126.095
399916.4901,3752121.105
399917.9562,3752116.085
399919.6112,3752110.819
399921.2876,3752105.459
399922.964,3752100.082
399924.6404,3752094.706
399926.3138,3752089.336
399927.4232,3752085.873
399927.9018,3752084.12
399929.2581,3752078.921
399930.5688,3752073.762
399931.8428,3752068.64
399933.0895,3752063.555
399934.4519,3752058.344
399935.8601,3752053.203
399937.2835,3752048.096
399938.7161,3752043.01
399940.1486,3752037.939
399941.7367,3752032.826
399943.3277,3752027.778
399944.9249,3752022.749
399946.5281,3752017.72
399948.1405,3752012.682
399949.5944,3752007.296
399951.0605,3752001.729
399952.5418,3751996.086
399954.0414,3751990.407
399955.5502,3751984.706
399956.7999,3751979.091
399958.0617,3751973.361
399959.3389,3751967.587
399960.6282,3751961.8
399961.9175,3751956.012
399963.1123,3751950.952
399964.2187,3751946.226
399965.2764,3751941.635
399966.2974,3751937.109
399967.2941,3751932.623
399968.6292,3751927.78
399970.013,3751922.958
399971.4181,3751918.114
399972.8476,3751913.236
399974.2984,3751908.321
399975.5877,3751903.123
399976.8313,3751897.752
399978.0536,3751892.333
399979.2575,3751886.909
399979.7361,3751884.715
399980.367,3751881.393
399981.6441,3751875.65
399983.0279,3751869.778
399984.4635,3751863.845
399985.9357,3751857.881
399987.4292,3751851.896
399988.9075,3751846.349
399990.3949,3751840.985
399991.8854,3751835.675
399993.3789,3751830.375
399994.8846,3751825.07
