398235.6430400000,3762204.1100720000,400689.7676720000,3761721.3312560003,400327.6835600000,3765100.7799200001,402017.4094160000,3764296.1505920002,401695.5558560000,3764980.0852160002
398155.2581360000,3762143.7627200000,400692.9345440000,3761718.7892240002,400316.8296320000,3765049.8783200001,402011.4962960000,3764297.5252399999,401693.9648000000,3764977.0219760002
398149.4547440000,3762138.6268400000,400689.8103440000,3761648.0969600002,400307.5698080000,3764983.0509200003,401940.1517600000,3764255.7158240001,401692.0963760000,3764973.6447920003
398094.8315360000,3762086.5487120003,400684.7232320000,3761570.2236080002,400306.4450960000,3764976.7049840000,401916.8315120001,3764240.2777040000,401690.0389760000,3764970.1578800003
398063.0195600000,3762063.2711360003,400682.7999440000,3761540.2892000000,400303.5647360000,3764959.9714640002,401852.5979600000,3764155.3390879999,401687.7804080000,3764966.5642880001
398056.4023520000,3762058.3181360001,400675.4634080000,3761492.0485040001,400272.1398560000,3764903.9583680001,401778.4279280000,3764020.0932320002,401685.2932400000,3764962.8670640001
397995.5307440000,3762020.2790959999,400663.3933280000,3761413.7088080002,400240.6631600001,3764823.9940880002,401722.5733280000,3763954.1832800000,401683.2266960000,3764959.9714640002
397925.9997680000,3761976.1928240000,400651.5427040000,3761339.1303440002,400221.8265200000,3764758.8126079999,401715.6726560000,3763927.3304000003,401682.7938800000,3764959.7885840000
397893.6757280000,3761955.4816640001,400650.5825840000,3761333.8969280003,400194.6139760001,3764696.1731600002,401685.1713200000,3763802.1429440002,401680.6237040000,3764958.8802800002
397868.8985360001,3761942.6038640002,400627.3232960000,3761249.2052000002,400141.2374000000,3764575.4601680003,401665.9750160000,3763753.0244240002,401678.2767440000,3764957.9201600002
397852.9940720000,3761931.7560320003,400601.2141280000,3761169.1068080002,400130.3316560001,3764557.6537520001,401648.1777440000,3763656.8386880001,401675.7286160000,3764956.9021280003
397789.1171360000,3761885.6306480002,400600.7660720000,3761167.4273600001,400106.4109520000,3764523.9977360000,401621.4711680000,3763551.8655679999,401672.9732240000,3764955.8292320003
397725.2737280000,3761838.3744560000,400592.7650720000,3761137.9714879999,400065.3422000000,3764487.5314640002,401620.8371840000,3763546.3121120003,401670.0136160000,3764954.7014720002
